material_code,date,shop,forecast_qty
100000,2026-02-01 18:18:15.938575,Piacenza,128
100000,2026-03-01 18:18:15.938575,Piacenza,129
100000,2026-04-01 18:18:15.938575,Piacenza,121
100000,2026-05-01 18:18:15.938575,Piacenza,141
100000,2026-06-01 18:18:15.938575,Piacenza,148
100000,2026-07-01 18:18:15.938575,Piacenza,140
100000,2026-08-01 18:18:15.938575,Piacenza,120
100000,2026-09-01 18:18:15.938575,Piacenza,123
100000,2026-10-01 18:18:15.938575,Piacenza,140
100000,2026-11-01 18:18:15.938575,Piacenza,112
100000,2026-12-01 18:18:15.938575,Piacenza,123
100000,2027-01-01 18:18:15.938575,Piacenza,141
100001,2026-02-01 18:18:15.938575,Piacenza,135
100001,2026-03-01 18:18:15.938575,Piacenza,113
100001,2026-04-01 18:18:15.938575,Piacenza,117
100001,2026-05-01 18:18:15.938575,Piacenza,121
100001,2026-06-01 18:18:15.938575,Piacenza,110
100001,2026-07-01 18:18:15.938575,Piacenza,110
100001,2026-08-01 18:18:15.938575,Piacenza,135
100001,2026-09-01 18:18:15.938575,Piacenza,145
100001,2026-10-01 18:18:15.938575,Piacenza,122
100001,2026-11-01 18:18:15.938575,Piacenza,117
100001,2026-12-01 18:18:15.938575,Piacenza,135
100001,2027-01-01 18:18:15.938575,Piacenza,150
100002,2026-02-01 18:18:15.938575,Piacenza,120
100002,2026-03-01 18:18:15.938575,Piacenza,134
100002,2026-04-01 18:18:15.938575,Piacenza,137
100002,2026-05-01 18:18:15.938575,Piacenza,119
100002,2026-06-01 18:18:15.938575,Piacenza,158
100002,2026-07-01 18:18:15.938575,Piacenza,125
100002,2026-08-01 18:18:15.938575,Piacenza,124
100002,2026-09-01 18:18:15.938575,Piacenza,113
100002,2026-10-01 18:18:15.938575,Piacenza,132
100002,2026-11-01 18:18:15.938575,Piacenza,133
100002,2026-12-01 18:18:15.938575,Piacenza,144
100002,2027-01-01 18:18:15.938575,Piacenza,120
100003,2026-02-01 18:18:15.938575,Piacenza,118
100003,2026-03-01 18:18:15.938575,Piacenza,141
100003,2026-04-01 18:18:15.938575,Piacenza,98
100003,2026-05-01 18:18:15.938575,Piacenza,127
100003,2026-06-01 18:18:15.938575,Piacenza,132
100003,2026-07-01 18:18:15.938575,Piacenza,121
100003,2026-08-01 18:18:15.938575,Piacenza,139
100003,2026-09-01 18:18:15.938575,Piacenza,128
100003,2026-10-01 18:18:15.938575,Piacenza,132
100003,2026-11-01 18:18:15.938575,Piacenza,132
100003,2026-12-01 18:18:15.938575,Piacenza,139
100003,2027-01-01 18:18:15.938575,Piacenza,139
100004,2026-02-01 18:18:15.938575,Piacenza,145
100004,2026-03-01 18:18:15.938575,Piacenza,118
100004,2026-04-01 18:18:15.938575,Piacenza,112
100004,2026-05-01 18:18:15.938575,Piacenza,130
100004,2026-06-01 18:18:15.938575,Piacenza,136
100004,2026-07-01 18:18:15.938575,Piacenza,123
100004,2026-08-01 18:18:15.938575,Piacenza,100
100004,2026-09-01 18:18:15.938575,Piacenza,118
100004,2026-10-01 18:18:15.938575,Piacenza,129
100004,2026-11-01 18:18:15.938575,Piacenza,130
100004,2026-12-01 18:18:15.938575,Piacenza,120
100004,2027-01-01 18:18:15.938575,Piacenza,129
100005,2026-02-01 18:18:15.938575,Piacenza,125
100005,2026-03-01 18:18:15.938575,Piacenza,117
100005,2026-04-01 18:18:15.938575,Piacenza,132
100005,2026-05-01 18:18:15.938575,Piacenza,136
100005,2026-06-01 18:18:15.938575,Piacenza,132
100005,2026-07-01 18:18:15.938575,Piacenza,114
100005,2026-08-01 18:18:15.938575,Piacenza,138
100005,2026-09-01 18:18:15.938575,Piacenza,129
100005,2026-10-01 18:18:15.938575,Piacenza,119
100005,2026-11-01 18:18:15.938575,Piacenza,129
