material_code,date,shop,business_unit,sales_qty_capped,promo_flag,seasonality_factor,bu_correlation_factor,capacity_factor
100000,2024-08-01 18:18:15.938575,Piacenza,Haircare,130,False,1.0,0.9598799074389658,1.0
100000,2024-09-01 18:18:15.938575,Piacenza,Haircare,107,False,1.0,0.8465420702619189,1.0
100000,2024-10-01 18:18:15.938575,Piacenza,Haircare,121,False,1.0,1.051419648598801,1.0
100000,2024-11-01 18:18:15.938575,Piacenza,Haircare,127,False,1.0,0.9672777696604904,1.0
100000,2024-12-01 18:18:15.938575,Piacenza,Haircare,124,False,1.0,1.0334102397724239,1.0
100000,2025-01-01 18:18:15.938575,Piacenza,Haircare,121,False,1.0,0.9279814919790839,1.0
100000,2025-02-01 18:18:15.938575,Piacenza,Haircare,125,False,1.0,0.982680377835293,1.0
100000,2025-03-01 18:18:15.938575,Piacenza,Haircare,113,False,1.0,0.830001469796076,1.0
100000,2025-04-01 18:18:15.938575,Piacenza,Haircare,104,False,1.0,0.8953793902923692,1.0
100000,2025-05-01 18:18:15.938575,Piacenza,Haircare,108,False,1.0,0.881272977433833,1.0
100000,2025-06-01 18:18:15.938575,Piacenza,Haircare,210,True,1.0,1.0872789839282155,1.0
100000,2025-07-01 18:18:15.938575,Piacenza,Haircare,102,False,1.0,0.9172735762724786,0.9838646202282566
100000,2025-08-01 18:18:15.938575,Piacenza,Haircare,90,False,1.0,1.1377930075974714,0.9224146766424106
100000,2025-09-01 18:18:15.938575,Piacenza,Haircare,107,False,1.0,0.9182556118700962,0.8802472516724698
100000,2025-10-01 18:18:15.938575,Piacenza,Haircare,105,False,1.0,1.2095938067563794,0.8267651435815466
100000,2025-11-01 18:18:15.938575,Piacenza,Haircare,79,False,1.0,0.805116573341118,0.7639938201388771
100000,2025-12-01 18:18:15.938575,Piacenza,Haircare,92,False,1.0,1.0424301799952187,0.7110240326123023
100000,2026-01-01 18:18:15.938575,Piacenza,Haircare,80,False,1.0,1.0038598032157295,0.8325162340665643
100001,2025-09-01 18:18:15.938575,Piacenza,Fragrance,107,False,1.2,0.8788558485956177,0.8802472516724698
100001,2025-10-01 18:18:15.938575,Piacenza,Fragrance,103,False,1.1,0.9449068431135,0.8267651435815466
100001,2025-11-01 18:18:15.938575,Piacenza,Fragrance,93,False,1.0,0.9738718482113633,0.7639938201388771
100001,2025-12-01 18:18:15.938575,Piacenza,Fragrance,65,False,0.9,1.0249806260031369,0.7110240326123023
100001,2026-01-01 18:18:15.938575,Piacenza,Fragrance,86,False,0.8,0.9063583301136023,0.8325162340665643
100002,2025-04-01 18:18:15.938575,Piacenza,Bath,121,False,1.0,1.0425320388555481,1.0
100002,2025-05-01 18:18:15.938575,Piacenza,Bath,129,False,1.1,1.011972384999718,1.0
100002,2025-06-01 18:18:15.938575,Piacenza,Bath,157,False,1.1,1.0779184760641414,1.0
100002,2025-07-01 18:18:15.938575,Piacenza,Bath,115,False,1.0,0.9137637975790205,0.9838646202282566
100002,2025-08-01 18:18:15.938575,Piacenza,Bath,92,False,1.0,0.9590666999697244,0.9224146766424106
100002,2025-09-01 18:18:15.938575,Piacenza,Bath,133,False,1.1,1.1442118376463482,0.8802472516724698
100002,2025-10-01 18:18:15.938575,Piacenza,Bath,103,False,1.2,0.9093961507694152,0.8267651435815466
100002,2025-11-01 18:18:15.938575,Piacenza,Bath,106,False,1.4,0.8607523280168068,0.7639938201388771
100002,2025-12-01 18:18:15.938575,Piacenza,Bath,146,False,1.6,0.9369044836920503,0.7110240326123023
100002,2026-01-01 18:18:15.938575,Piacenza,Bath,71,False,0.9,0.8224050301199947,0.8325162340665643
100003,2024-12-01 18:18:15.938575,Piacenza,Haircare,145,False,1.0,1.167289347749836,1.0
100003,2025-01-01 18:18:15.938575,Piacenza,Haircare,99,False,1.0,0.9717236664836277,1.0
100003,2025-02-01 18:18:15.938575,Piacenza,Haircare,97,False,1.0,0.9726894614534427,1.0
100003,2025-03-01 18:18:15.938575,Piacenza,Haircare,136,False,1.0,1.0742526957185978,1.0
100003,2025-04-01 18:18:15.938575,Piacenza,Haircare,108,False,1.0,0.9274443116990532,1.0
100003,2025-05-01 18:18:15.938575,Piacenza,Haircare,113,False,1.0,0.9784069630650278,1.0
100003,2025-06-01 18:18:15.938575,Piacenza,Haircare,119,False,1.0,0.9248056338334952,1.0
100003,2025-07-01 18:18:15.938575,Piacenza,Haircare,142,True,1.0,0.8244969089461329,0.9838646202282566
100003,2025-08-01 18:18:15.938575,Piacenza,Haircare,97,False,1.0,1.0050757880485535,0.9224146766424106
100003,2025-09-01 18:18:15.938575,Piacenza,Haircare,94,False,1.0,1.1025727428958436,0.8802472516724698
100003,2025-10-01 18:18:15.938575,Piacenza,Haircare,88,False,1.0,1.0079294953170137,0.8267651435815466
100003,2025-11-01 18:18:15.938575,Piacenza,Haircare,107,False,1.0,1.0919791324050006,0.7639938201388771
100003,2025-12-01 18:18:15.938575,Piacenza,Haircare,95,False,1.0,0.890420810093309,0.7110240326123023
100003,2026-01-01 18:18:15.938575,Piacenza,Haircare,87,False,1.0,0.9245960753057235,0.8325162340665643
100004,2024-09-01 18:18:15.938575,Piacenza,Haircare,104,False,1.0,0.8705702934910091,1.0
100004,2024-10-01 18:18:15.938575,Piacenza,Haircare,128,False,1.0,1.036655754531179,1.0
100004,2024-11-01 18:18:15.938575,Piacenza,Haircare,122,False,1.0,0.9682391370017401,1.0
100004,2024-12-01 18:18:15.938575,Piacenza,Haircare,110,False,1.0,0.9644941417868401,1.0
100004,2025-01-01 18:18:15.938575,Piacenza,Haircare,134,False,1.0,1.066898618985155,1.0
100004,2025-02-01 18:18:15.938575,Piacenza,Haircare,131,False,1.0,0.9527017016113051,1.0
100004,2025-03-01 18:18:15.938575,Piacenza,Haircare,137,False,1.0,1.107967171338837,1.0
100004,2025-04-01 18:18:15.938575,Piacenza,Haircare,144,False,1.0,1.0235657587987197,1.0
100004,2025-05-01 18:18:15.938575,Piacenza,Haircare,91,False,1.0,0.9633852159198815,1.0
100004,2025-06-01 18:18:15.938575,Piacenza,Haircare,98,False,1.0,0.8448396661401375,1.0
100004,2025-07-01 18:18:15.938575,Piacenza,Haircare,129,False,1.0,1.0663274278037027,0.9838646202282566
100004,2025-08-01 18:18:15.938575,Piacenza,Haircare,125,False,1.0,1.0282935630881527,0.9224146766424106
100004,2025-09-01 18:18:15.938575,Piacenza,Haircare,107,False,1.0,1.0331068475764937,0.8802472516724698
100004,2025-10-01 18:18:15.938575,Piacenza,Haircare,114,False,1.0,1.0362963600302635,0.8267651435815466
100004,2025-11-01 18:18:15.938575,Piacenza,Haircare,86,False,1.0,0.9470913931276629,0.7639938201388771
100004,2025-12-01 18:18:15.938575,Piacenza,Haircare,154,True,1.0,0.9848625922032368,0.7110240326123023
100004,2026-01-01 18:18:15.938575,Piacenza,Haircare,88,False,1.0,0.9541448729754023,0.8325162340665643
100005,2025-10-01 18:18:15.938575,Piacenza,Fragrance,103,False,1.1,1.125006448374397,0.8267651435815466
100005,2025-11-01 18:18:15.938575,Piacenza,Fragrance,78,False,1.0,0.9724879706813351,0.7639938201388771
100005,2025-12-01 18:18:15.938575,Piacenza,Fragrance,63,False,0.9,0.9380759808700062,0.7110240326123023
100005,2026-01-01 18:18:15.938575,Piacenza,Fragrance,82,False,0.8,1.1318764078295707,0.8325162340665643
100006,2024-08-01 18:18:15.938575,Piacenza,Bath,123,False,1.0,1.1209971235002953,1.0
100006,2024-09-01 18:18:15.938575,Piacenza,Bath,135,False,1.1,1.0236374292137607,1.0
100006,2024-10-01 18:18:15.938575,Piacenza,Bath,147,False,1.2,0.9870131673252721,1.0
100006,2024-11-01 18:18:15.938575,Piacenza,Bath,181,False,1.4,0.9620450465232324,1.0
100006,2024-12-01 18:18:15.938575,Piacenza,Bath,156,False,1.6,0.9956025923796125,1.0
100006,2025-01-01 18:18:15.938575,Piacenza,Bath,108,False,0.9,0.9125288416790617,1.0
100006,2025-02-01 18:18:15.938575,Piacenza,Bath,103,False,0.9,1.0483366940824097,1.0
100006,2025-03-01 18:18:15.938575,Piacenza,Bath,135,False,1.0,1.1652502964092954,1.0
100006,2025-04-01 18:18:15.938575,Piacenza,Bath,131,False,1.0,1.0562619878734862,1.0
100006,2025-05-01 18:18:15.938575,Piacenza,Bath,117,False,1.1,0.8896763721564401,1.0
100006,2025-06-01 18:18:15.938575,Piacenza,Bath,104,False,1.1,1.0455100765968017,1.0
100006,2025-07-01 18:18:15.938575,Piacenza,Bath,127,False,1.0,1.0194538563630875,0.9838646202282566
100006,2025-08-01 18:18:15.938575,Piacenza,Bath,115,False,1.0,1.0446294803302976,0.9224146766424106
100006,2025-09-01 18:18:15.938575,Piacenza,Bath,92,False,1.1,0.9180431255426672,0.8802472516724698
